MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
10.5851,44.7,108.8723,13.1641,213.4,437.7996,39.6302,-115.7814,4.7741
6.5758,39.1,77.95,20.6837,7871.6,273.3521,36.6412,-124.0586,1.7802
10.3476,21.6,24.2548,16.0997,4556.6,773.9314,32.7938,-120.394,2.8873
0.893,33.8,20.1201,15.9077,1797.1,471.7796,34.5317,-121.0685,3.842
5.9973,39.4,118.2181,8.8416,2925.3,24.7764,37.6159,-114.3109,1.8473
9.9271,40.8,92.8322,25.7778,33884.2,248.4236,32.7318,-122.8201,0.7622
10.2072,29.8,31.7112,23.9299,27365.2,209.1915,38.2542,-116.8408,0.7055
12.3799,50.2,16.2311,1.1964,11133.3,842.3888,41.5564,-120.3676,3.6178
1.6019,36.2,89.3785,3.7682,27564.3,1057.2984,38.1899,-123.1346,4.9216
11.8482,18.7,61.3585,12.8331,18055.2,424.7175,40.5345,-116.0938,0.6619
14.4314,33.4,117.7649,24.1946,15540.7,912.5334,41.6251,-121.6384,4.0698
8.3035,25.7,62.3724,24.9948,9579.1,1059.0628,40.3572,-123.4799,4.4259
4.036,24.7,86.9957,13.1171,1027.0,1058.118,34.2511,-122.2203,4.0195
5.4349,45.9,99.7968,9.6513,365.2,1178.7905,33.3456,-117.1205,2.5196
11.4934,36.2,92.0077,16.8903,28294.1,116.3218,34.6252,-117.4045,1.6351
8.9326,25.1,75.8069,14.6865,26617.2,411.7445,39.1539,-121.63,1.3693
2.2495,10.8,17.8453,18.4101,27197.2,230.7646,34.5762,-119.4886,3.6642
14.6608,27.8,40.8745,3.7218,6928.9,283.3697,34.2285,-124.208,2.7406
4.4775,50.7,78.9683,23.8609,4508.5,1079.8746,37.1592,-115.5879,2.9342
7.3063,23.5,26.9768,2.0635,33579.2,594.3354,40.2761,-120.3269,0.5093
9.627,3.7,22.0219,19.3202,10843.5,1235.7724,33.6546,-116.675,3.0906
11.9657,12.5,74.6305,15.5304,15798.8,1069.5675,41.8562,-121.284,3.162
9.3396,38.7,134.5155,7.3408,7532.2,821.3644,34.0179,-122.6049,0.5141
0.5388,24.0,84.668,10.1571,8261.8,879.1816,39.1551,-119.7915,3.4838
13.8967,41.2,89.0707,22.6383,33315.4,528.9847,37.6643,-117.8477,4.5558
12.4862,4.6,24.3785,10.7088,26725.1,708.0094,35.2558,-123.1015,3.4901
10.6461,49.1,71.5165,16.9907,2873.1,50.2226,36.6054,-121.1139,1.3643
1.8242,50.1,118.7866,19.7372,33926.1,1242.7987,38.8662,-121.6441,0.3451
11.4659,25.0,92.7977,31.2383,6478.4,728.044,38.5133,-119.4131,0.5925
5.5454,18.0,95.4218,29.2699,11770.1,862.6767,35.2521,-114.8603,4.0958
8.4764,24.2,45.3155,11.2373,34618.2,502.9341,37.3824,-114.4293,3.3397
8.3676,22.1,27.4304,12.5364,26992.1,777.8479,39.6915,-122.3063,2.8137
13.9513,23.3,99.3834,4.4269,34723.9,757.2983,34.7918,-122.7599,2.8216
8.5076,5.8,140.809,31.1323,16467.0,146.6581,40.3705,-119.3463,3.6255
7.8786,14.9,118.6126,33.4035,8699.1,685.714,36.1495,-115.0944,2.615
13.2502,45.1,39.9233,26.9848,14807.7,1161.6244,37.3178,-116.1117,1.5218
4.8291,30.9,141.7453,16.8505,5304.7,669.9518,35.7876,-118.8087,2.7856
7.1025,17.4,27.5811,23.8636,20404.2,290.924,39.8379,-123.9118,3.7618
10.7258,42.4,55.3985,22.7229,29286.5,1219.4939,37.201,-123.9783,2.5861
9.0576,45.4,124.1734,15.1859,18768.4,568.4871,39.3382,-120.2338,3.3257
2.7382,24.9,137.5608,11.7531,24718.0,808.203,40.5551,-115.7925,4.3178
6.0101,17.1,102.2673,25.9522,31128.8,45.2997,33.1838,-118.0131,4.6165
14.9627,39.1,62.1466,3.6515,22614.5,1084.9919,36.715,-117.3822,4.5316
1.1669,41.6,42.3355,12.9771,5196.8,660.7385,37.8654,-116.3931,0.9744
1.645,45.4,88.3172,8.4556,32571.8,178.5338,36.8794,-121.8001,1.3883
0.6363,42.0,127.9804,23.1926,5639.4,549.6011,35.7918,-118.4508,3.2489
6.6525,13.8,120.1033,7.0516,13728.5,601.1437,34.7721,-118.6079,2.9378
14.894,16.1,138.7924,22.5387,9796.2,703.936,38.9934,-116.8735,0.3879
9.2929,26.3,128.3955,9.9862,28505.5,755.0532,35.8553,-117.9584,3.1613
10.3276,37.8,93.8787,28.6155,22418.3,1123.2956,38.6221,-121.2483,2.288
8.9038,38.4,13.6998,10.287,26672.4,218.9474,33.7836,-118.9343,4.8617
8.1974,47.6,118.0136,9.0002,29427.1,599.4534,40.1291,-116.8545,1.7928
2.17,50.1,20.8327,32.9397,30692.0,900.6307,41.7613,-114.6386,4.0523
5.8037,41.3,2.9611,18.4339,16229.3,836.7735,38.8667,-118.481,4.1387
14.1342,6.5,33.9455,1.1743,31551.6,698.3173,41.1526,-122.1275,0.4566
12.4459,47.4,43.5786,14.1059,4990.1,1176.5524,35.4041,-119.404,0.6214
13.3653,7.9,64.9184,22.9522,26517.5,1176.1952,36.484,-116.8976,0.8994
6.5158,6.1,69.949,14.0998,33952.3,41.3446,36.0267,-119.8984,4.7602
12.904,6.1,97.6123,18.7003,34891.4,446.3925,36.2865,-122.4443,0.7425
12.7965,24.2,94.3841,21.9811,21308.6,27.2296,39.9437,-121.9046,0.7607
8.6864,4.5,108.8107,7.3195,7707.9,1081.4083,35.6317,-122.8686,4.5176
0.5411,44.8,21.3865,4.7159,8946.1,217.5271,38.7606,-124.0912,0.2221
11.9548,13.1,46.6194,6.2091,1872.5,922.3785,37.4905,-116.8635,2.4598
11.7812,27.2,16.3657,17.3295,33734.5,54.5771,39.9102,-115.6455,2.679
7.1416,50.2,9.5703,16.4908,14332.3,853.2622,37.1534,-115.2166,0.5064
1.6715,32.0,10.2546,9.609,22590.5,682.0996,35.6,-114.3639,2.7232
7.0789,31.9,14.9742,24.008,30429.8,809.5451,39.7759,-117.1128,1.1929
7.0475,12.7,48.7555,15.6311,14845.1,118.8475,36.5558,-117.6723,1.9654
2.7133,48.1,10.4591,28.394,3329.4,120.6848,39.4921,-116.1998,2.8484
9.0037,29.6,47.4471,4.4541,12619.0,827.4687,39.6002,-115.6344,3.6471
14.5418,31.6,50.5469,19.829,7593.3,816.7768,34.6501,-123.2635,4.2501
5.8296,39.9,81.8907,27.5656,30157.3,1211.7006,40.2414,-118.1897,3.2671
0.8807,48.4,117.871,9.3537,6440.1,873.8916,35.4475,-120.9382,0.1796
13.113,29.9,57.4705,5.1169,22593.9,38.7857,39.5609,-122.1901,2.1862
5.443,19.9,102.6729,26.5404,20254.2,106.261,33.035,-122.7696,3.1465
10.2725,14.9,94.2672,16.7162,15774.7,340.138,39.644,-123.2073,2.2351
4.6071,35.6,69.5666,22.8391,1623.4,491.8601,38.1796,-124.2728,1.6119
3.5629,8.0,37.0027,11.4008,278.8,928.9596,34.1933,-120.5327,3.5628
7.7538,43.5,114.5936,2.7618,30749.9,53.2565,32.7164,-115.1015,4.3312
8.8485,30.2,100.9684,14.423,4112.3,26.6072,35.5961,-116.3047,3.1479
12.5644,47.9,13.4175,28.8229,8684.3,732.445,37.4705,-120.3765,1.6548
5.4229,18.0,24.6899,17.5537,4071.4,634.3768,41.0647,-120.8423,3.6778
12.3748,42.6,34.2903,5.271,7041.5,749.2551,39.6936,-117.7687,1.0092
11.7063,26.2,107.3014,25.9683,16019.5,1149.081,37.8519,-117.9716,3.1789
13.0316,33.0,22.2699,2.634,15780.5,376.9868,35.1247,-123.786,2.6106
5.0009,24.0,9.0158,28.3914,2740.7,1074.6417,40.5883,-118.1753,2.6093
7.2093,29.3,112.5671,30.5569,16049.0,1006.9997,38.6738,-121.1219,2.4568
2.6875,4.2,15.5834,30.6665,12256.5,888.3271,37.2878,-122.6175,1.3516
6.8475,23.4,74.6552,5.6861,13306.0,352.2249,36.3865,-120.9528,3.0497
11.9438,34.0,10.287,3.5186,24206.9,353.7824,39.3503,-117.7581,4.5458
13.1626,18.0,83.108,5.1018,12484.3,1203.1884,39.1127,-120.4147,3.0359
14.101,16.8,54.0741,27.0407,29016.6,833.4034,40.3405,-116.9327,3.4743
8.1327,33.9,60.658,12.5381,12940.1,224.6919,34.5556,-114.8354,2.5084
3.7849,8.0,11.8726,28.821,3611.6,958.6098,40.3985,-115.4778,0.3331
5.3831,40.1,19.4648,13.0405,5791.8,1033.7526,39.796,-116.2272,0.9529
6.8463,22.0,96.2995,8.3443,15851.6,354.7528,39.5837,-119.8428,2.74
4.9873,42.2,67.0843,28.5067,13127.2,1177.6318,41.8036,-119.7147,1.5166
6.0372,27.9,137.1472,27.8919,28591.1,172.6696,34.8925,-117.9126,4.3895
8.5408,6.2,120.1862,29.0483,10173.8,948.9695,35.107,-115.2607,0.8646
6.8434,49.3,32.2852,15.5511,12475.8,33.8314,33.0411,-119.3098,1.2935
14.9206,20.1,4.9716,31.7361,29944.0,808.3571,39.9869,-122.9685,1.5414
12.5315,36.5,20.5559,24.1348,16008.7,7.2153,33.2855,-121.7805,4.1996
8.4577,38.1,75.363,4.0814,10282.2,374.9125,32.9893,-120.135,4.0004
7.1281,6.7,128.5352,20.464,589.4,641.1165,34.8166,-122.9085,2.2318
9.4147,13.3,59.6944,22.7459,3057.6,1211.8347,33.1769,-119.0684,2.6105
14.8308,29.3,56.0149,16.1924,22683.1,1219.7688,34.9268,-124.1869,3.9743
5.4996,38.4,89.5214,26.3605,26233.7,413.8909,32.9572,-118.868,4.0955
3.0388,40.7,66.4654,23.7924,22542.7,1009.0895,33.1338,-116.557,2.3697
4.7549,3.2,29.1053,1.7439,33304.7,641.1263,41.8476,-118.898,1.3786
11.4227,10.7,51.2977,26.6756,30893.8,413.1529,33.7113,-120.6551,4.464
11.278,46.6,55.4782,33.1834,17707.0,618.9325,41.2378,-119.1365,4.0356
11.0427,5.0,85.8857,28.0758,19465.0,399.8402,33.2934,-117.7144,1.6365
9.238,22.7,98.1879,12.1912,1514.2,1081.833,35.8576,-114.3286,1.4816
14.7104,49.3,11.5733,21.8397,12965.6,996.1639,38.9333,-114.784,0.8425
9.3098,40.8,5.9032,2.5985,27779.7,455.9044,36.1427,-118.6549,3.0847
10.3464,49.4,53.4167,26.0765,20480.0,658.618,36.2855,-117.8284,1.3606
2.145,38.5,71.3153,13.387,20042.9,325.9842,34.9893,-119.8694,4.9824
4.6409,47.7,70.2101,4.4678,30431.0,562.4163,40.9966,-119.8811,0.5758
10.388,44.1,46.0299,12.0521,2320.0,674.4138,40.9274,-115.8023,3.6023
13.9462,33.5,112.8318,17.4954,4333.1,250.4362,33.8468,-116.4147,0.2775
8.5333,19.8,114.2359,18.9426,21836.7,107.8248,35.4504,-114.3141,3.6365
8.1226,40.2,117.0085,2.8183,34696.5,798.8856,36.7743,-117.5217,1.8209
13.2304,40.8,91.147,6.4694,34478.4,538.2788,41.1098,-123.7937,0.7522
2.7187,9.4,46.4629,24.2629,12348.8,1169.895,40.9613,-115.8568,1.3654
9.7083,29.1,18.6365,10.5473,19037.0,625.2075,34.1269,-114.8963,0.8978
10.0516,37.8,86.2641,28.757,20112.3,1026.1616,32.807,-123.8936,3.2611
8.8632,34.2,109.0645,14.3856,22801.6,619.572,38.4416,-121.4417,4.7898
7.5027,42.0,97.5152,10.3654,2606.6,75.1403,36.6767,-119.4881,1.1395
9.2966,16.9,102.2173,25.1019,30714.7,1212.7289,33.7705,-120.6298,2.874
5.1272,24.8,38.6868,8.6948,3457.1,361.319,36.1548,-118.1716,1.3541
13.047,9.1,47.1357,19.8212,11160.4,948.9751,37.2287,-119.1822,2.569
4.9738,2.2,134.1833,17.3837,34493.4,268.0371,35.8607,-123.8426,2.5502
13.2939,34.4,67.3057,18.4379,30229.3,536.1781,40.8439,-117.0458,3.8547
5.8061,21.4,81.3527,6.8977,19741.4,92.0635,37.285,-116.6754,1.5066
14.8418,35.7,17.7405,33.2293,14057.1,988.4611,35.7308,-114.923,3.8116
3.3863,27.0,71.461,1.8585,4892.3,414.5397,36.9979,-119.7618,3.0904
7.9748,17.7,87.3813,5.8128,35347.2,919.3978,35.3558,-120.9728,4.1672
8.2189,37.1,43.2405,27.8534,13145.6,837.9888,41.7608,-118.4896,4.0143
11.0172,36.1,4.7546,16.3427,34507.1,973.5578,39.8437,-118.5506,3.6488
8.9611,9.7,89.6297,21.2399,30015.0,184.322,38.9456,-124.033,4.7488
2.0935,2.0,45.1993,5.4393,24639.4,510.6414,39.8325,-115.108,4.3832
11.1696,4.2,20.4558,7.3257,11600.4,823.5995,37.4847,-121.1999,0.9899
13.7258,18.5,50.919,26.3769,25724.9,800.0916,39.0641,-118.2248,1.0825
4.0745,29.5,32.6838,33.156,10621.6,359.8181,34.4905,-117.2719,1.6876
5.5576,48.6,113.0726,9.5565,4351.3,841.4879,36.1129,-114.5092,4.1191
14.3418,42.0,41.9248,10.0346,25482.8,431.0952,36.7028,-121.7753,2.4735
3.43,28.5,132.4631,23.8188,4900.8,765.7549,38.0621,-121.9157,3.3987
8.2001,33.5,8.396,14.2748,25597.6,125.6311,39.7929,-124.298,2.8192
13.9719,21.8,132.746,29.9672,17037.9,248.542,41.6104,-121.1255,3.2826
13.6651,5.6,81.8954,18.386,25803.1,1164.6328,41.1335,-122.5923,4.4289
3.0489,47.9,141.5015,13.7246,17677.8,1164.5575,41.5937,-115.0526,4.4022
0.6344,30.0,16.1187,33.4962,10155.9,1229.7846,37.6525,-119.3911,4.702
12.8404,24.9,28.1671,4.1307,5800.6,570.9555,34.9609,-122.4806,3.7226
11.9661,30.0,107.7011,6.2512,30549.5,1115.3912,40.322,-119.1766,0.5707
10.2042,10.4,20.8122,11.2483,8853.1,324.7522,34.7563,-116.7823,4.7771
4.8782,37.9,2.6113,22.3853,24720.3,77.8882,33.6525,-121.2697,2.1163
7.7865,46.7,100.1312,10.8224,4192.3,1139.1103,35.3163,-118.1792,1.2128
2.4367,8.8,106.3558,20.7676,14840.0,683.1908,36.9705,-118.9533,3.3709
3.667,13.6,107.3428,29.7896,2924.1,555.8369,39.1624,-123.5658,2.8862
1.3955,28.9,72.2231,19.653,5349.6,408.4221,37.4364,-123.183,1.1462
8.9556,5.6,72.9119,27.6153,16181.0,638.4723,36.8385,-123.7703,2.3925
12.2003,37.9,56.7892,27.8771,26612.6,719.3227,32.9662,-120.8909,0.4592
14.9148,48.7,10.7248,31.8356,1135.3,508.7644,39.776,-116.6611,4.8949
9.8653,22.4,140.8935,13.2349,31030.2,1127.4753,36.0748,-117.4954,3.3597
8.3199,34.3,50.0008,6.3517,19171.8,657.8509,39.3891,-122.1142,0.1668
0.8297,16.2,95.8961,18.6996,18981.9,1023.8306,34.8691,-120.8746,1.4869
14.0925,38.0,16.8998,27.6418,14961.1,952.6187,40.8561,-124.1929,1.1495
1.963,2.7,85.2279,24.0589,1739.7,920.916,36.3253,-121.9972,1.2038
13.0241,3.9,71.9989,10.0897,29109.4,909.7029,35.5409,-118.3469,3.4118
5.1496,16.4,21.1854,22.6056,7889.6,374.1045,33.1136,-114.8269,4.4166
13.7179,32.9,61.1926,17.0522,34693.3,1170.7429,38.8573,-116.4605,1.6959
6.5367,8.6,54.0432,25.784,16897.7,1056.115,35.3699,-117.2459,4.058
13.7637,29.7,137.3611,19.1329,4787.3,302.4757,34.4534,-117.8571,4.6228
12.7834,5.7,103.094,6.7568,9581.4,837.8217,38.2135,-115.5789,1.0626
11.5446,37.9,79.742,16.5048,31025.0,414.4448,41.5456,-124.196,4.6952
14.4501,7.0,141.8397,16.4888,8658.5,751.7435,34.4645,-115.1621,2.8276
11.745,20.4,76.1913,12.4514,9335.3,637.9363,37.2194,-123.36,4.9094
7.3076,43.8,129.8292,12.8376,14771.6,699.7057,34.6222,-122.8849,1.4148
14.054,30.5,59.8368,5.4724,11772.3,472.6941,40.3819,-119.337,3.3248
10.4303,14.1,116.7623,32.94,22898.0,610.3237,34.1231,-116.3684,0.9709
10.9445,25.9,130.1911,18.6217,22902.1,73.6728,32.8583,-115.8492,4.7342
10.1891,40.0,59.1061,28.7575,8260.3,879.4472,32.626,-119.2724,1.96
9.4586,35.0,87.8676,16.6333,17409.2,8.9068,37.731,-124.231,2.7177
4.4837,50.9,3.4154,27.7659,24051.8,1002.4662,41.101,-123.2756,0.6171
2.659,10.8,75.1776,27.8353,9540.9,493.8894,36.0504,-120.2735,2.8903
14.8584,12.5,97.3815,28.937,23327.6,1067.1475,39.6877,-123.4113,1.9894
8.5142,3.9,2.3315,6.1125,17837.4,539.8835,39.921,-118.6688,4.3111
1.8827,27.9,6.9955,7.4632,30976.5,1103.6005,37.0145,-123.8825,0.5106
13.921,46.9,80.3985,1.4401,33140.5,391.4813,41.5874,-118.4562,3.7984
10.8343,21.3,11.8405,5.8111,8582.8,1037.8602,36.202,-115.3489,1.7589
11.4563,8.1,140.2765,24.7633,17870.8,1211.4231,33.0453,-119.9616,4.2176
5.4386,40.2,135.5395,13.7148,27602.7,37.504,35.112,-114.3844,2.5294
5.6593,49.0,61.8474,23.2629,23575.1,107.1769,38.3612,-116.3375,3.6086
1.6896,8.9,101.2753,21.7178,26393.2,394.207,33.5426,-124.2978,1.6451
5.7188,14.8,19.6702,6.6526,16017.3,690.0321,36.3797,-124.0863,1.8665
1.8494,31.5,46.7122,13.3279,10415.8,482.5852,33.337,-115.3026,4.5403
14.6835,30.2,24.8942,13.1759,4956.7,374.8878,37.1803,-123.7148,2.2582
6.606,25.7,11.8382,8.8223,8801.1,777.3819,38.1277,-122.3867,0.6688
4.9175,49.4,47.8094,21.2553,28691.6,410.1917,35.6899,-116.1626,4.3186
14.6263,7.9,46.1817,32.2912,7169.2,391.1067,41.6166,-114.624,1.5635
10.5769,26.0,82.1414,8.5094,13420.3,1015.2987,36.2375,-123.2066,2.8847
9.0873,28.8,97.0533,18.8903,34005.3,574.3202,39.2057,-119.9479,1.563
10.5461,42.8,113.108,14.1344,17817.6,787.6987,34.8174,-117.737,3.6189
11.9416,4.8,140.5897,16.4994,14303.3,630.2271,41.2009,-117.4052,2.7867
11.9655,19.3,127.1762,18.4452,22772.6,106.292,39.7759,-117.7477,1.8718
9.8815,3.3,139.5904,23.1879,14261.0,936.0037,41.6274,-120.0282,0.2012
4.2517,27.0,74.0986,19.9167,20526.8,554.6323,36.2206,-116.5957,3.0047
7.7568,18.6,4.4609,3.8575,14844.6,1195.7715,33.6322,-114.9056,0.8371
5.0224,24.2,30.1476,16.6239,16992.0,545.1725,39.0965,-121.1481,1.6063
12.2477,6.9,120.6495,22.1925,24162.7,204.923,41.7985,-121.9011,0.9961
2.822,29.6,136.0474,8.1528,14454.7,229.8972,38.5669,-120.0114,0.2916
9.4046,11.1,84.4414,13.4493,25147.3,256.406,39.6194,-116.2304,0.4534
1.9754,45.5,27.3426,11.3287,16327.9,326.7008,40.6574,-119.0517,3.2497
9.1561,32.2,83.709,12.069,30170.2,767.8496,40.1973,-117.2619,1.5926
9.41,5.3,19.8732,4.3067,10898.7,228.1484,39.0652,-119.2213,2.1785
2.4991,20.6,27.1727,21.7718,24744.0,802.516,41.9491,-118.7787,2.5248
2.5343,17.0,64.546,2.1388,12813.2,12.5988,33.8248,-116.1652,4.8246
7.8289,26.2,97.4738,14.3534,29969.5,607.9676,33.3179,-124.0402,3.8411
4.7353,15.0,76.7491,6.0054,16319.8,923.3729,39.7473,-118.8307,0.6991
2.156,40.5,117.0005,12.7079,29352.9,52.3969,39.3056,-118.8646,4.9504
1.985,43.3,106.8646,10.3747,35657.5,559.5454,35.8201,-116.15,2.2795
14.9124,40.6,34.3857,27.6831,20979.5,436.3979,39.2282,-117.997,0.955
2.5189,11.5,30.1582,2.3327,12519.7,349.9775,37.6098,-121.1005,3.5647
4.6953,14.6,121.8946,33.5804,24239.7,119.0206,41.5997,-116.4617,4.606
14.8911,45.2,18.8785,29.5515,8911.2,884.6977,40.336,-116.7048,3.4297
7.5972,30.4,38.8622,14.306,16129.6,788.0612,40.822,-123.4153,2.6507
4.5343,48.8,53.0021,32.3916,11680.4,3.7632,39.8246,-116.9935,3.695
7.1475,34.9,51.4736,2.4668,19070.7,271.3742,36.5829,-122.223,1.4524
12.511,18.2,82.4308,19.4316,17319.4,427.8346,38.9628,-123.864,0.6329
11.8664,24.4,18.505,29.2672,15747.6,1.5299,41.5551,-122.3187,3.4897
2.4127,34.1,23.3999,31.8002,9779.7,814.1072,34.8962,-120.6167,4.5334
2.9001,21.2,44.0463,23.9292,8357.0,815.2222,39.1618,-124.3391,2.4625
2.4241,12.5,96.8096,0.6433,24821.2,1016.0624,41.8385,-120.11,0.791
1.527,20.5,103.9646,3.7859,11183.1,1095.4422,33.8304,-116.5845,3.8028
2.4306,51.6,21.128,18.2293,305.4,808.4311,36.6813,-117.0968,3.1962
2.6949,22.0,97.7372,29.3451,3095.9,125.532,39.6205,-118.4307,2.0126
14.4671,17.0,20.7021,9.6749,3008.9,688.3628,38.1861,-118.2498,3.928
10.5119,44.2,93.7693,10.5076,18475.8,633.8431,39.5772,-121.3828,0.4147
13.5197,49.7,70.7297,4.134,17827.6,738.7309,37.5112,-114.5339,4.9364
14.0419,7.7,122.2887,19.5072,13040.6,849.3411,39.7173,-114.7673,3.8863
0.742,4.4,37.9419,1.6738,2160.5,981.4933,37.3072,-118.0392,2.5801
6.5238,36.8,12.6141,18.4337,21982.9,345.4825,35.4562,-119.2165,1.1355
12.2169,28.4,56.0541,21.7311,29778.1,846.997,33.1621,-117.3353,3.6903
12.7738,4.0,13.1474,14.9895,16178.9,757.2495,35.4504,-116.9034,3.7422
2.2319,37.1,99.8413,5.8577,34005.7,650.5974,39.9079,-117.1135,0.9598
2.3405,40.8,38.8689,30.2376,27526.9,37.1693,40.1349,-121.6193,0.4598
10.8287,30.4,11.8592,15.6884,12851.9,621.5254,37.8744,-120.6584,1.3873
1.9921,30.3,102.8395,8.0364,18157.4,55.4133,40.6602,-121.8947,2.4381
6.0532,8.7,132.2005,29.2616,19728.7,1136.3979,39.5097,-120.1395,1.7107
6.5357,37.7,39.2202,2.9579,13304.4,624.5462,41.0273,-122.5494,4.051
14.7305,49.7,10.7117,16.0223,10075.4,1050.5301,35.6199,-118.797,0.1887
3.4097,29.8,43.8208,21.3405,16555.4,735.9488,37.1825,-116.593,1.0978
13.5564,39.8,35.5384,0.5452,14632.7,290.2223,35.7998,-115.9207,4.4044
14.2894,1.1,93.6141,28.9755,25949.3,129.8612,37.5256,-121.9588,2.5363
1.3685,51.8,101.2718,3.4687,32873.1,1115.6953,37.4309,-117.3135,1.9566
14.631,5.3,14.4668,4.8348,29258.5,93.6774,37.8832,-119.9828,4.8265
3.9332,14.3,45.3848,27.3496,25004.2,914.4689,35.5329,-121.6196,0.5122
3.4393,40.8,83.3854,5.5736,5867.7,579.8287,36.3653,-118.9693,4.8285
3.5107,16.7,38.3396,4.3759,5626.6,853.2092,40.3163,-117.3533,0.3456
